subID,filter1,filter2,filter3,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8
1,0,0,0,10,51,102,4,16,61,39,15
2,0,0,0,36,13,223,0,0,13,13,0
3,0,0,0,42,25,189,0,9,16,17,0
4,0,0,0,41,41,162,0,24,11,18,1
5,0,0,0,78,25,170,0,11,0,14,0
6,0,0,0,26,35,127,5,8,49,32,16
7,0,0,0,5,35,90,1,4,94,32,37
8,0,0,0,18,41,87,17,25,53,33,24
9,0,0,0,41,24,181,5,10,11,20,6
10,0,0,0,19,39,169,0,4,32,35,0
11,0,0,0,7,24,88,16,10,77,30,46
12,0,0,0,32,36,132,4,11,44,29,10
13,0,0,0,16,40,145,5,14,35,31,12
14,0,0,0,4,39,182,0,0,34,39,0
15,0,0,0,10,45,127,2,7,67,40,0
16,0,0,0,1,49,137,2,7,51,44,7
17,0,0,0,29,34,68,13,35,39,12,68
18,0,0,0,8,38,180,0,1,34,37,0
19,0,0,0,31,28,155,0,1,56,27,0
20,0,0,0,6,41,157,2,1,39,43,9
21,0,0,0,33,29,127,9,8,46,31,15
22,0,0,0,43,29,154,0,5,39,25,3
23,0,0,0,4,39,112,2,2,101,38,0
24,0,0,0,29,33,176,0,6,27,27,0
25,0,0,0,15,38,172,1,4,29,35,4
26,0,0,0,31,31,133,11,10,39,32,11
27,0,0,0,82,21,126,3,13,40,12,1
28,0,0,0,20,43,137,1,5,53,39,0
29,0,0,0,33,24,200,0,7,17,17,0
30,0,0,0,64,23,91,22,14,43,31,10
31,0,0,0,46,26,170,2,6,25,22,1
32,0,0,0,59,39,152,0,21,8,19,0
33,0,0,0,23,39,142,0,12,51,27,4
34,0,0,0,4,48,151,1,1,45,47,1
35,0,0,0,19,39,153,0,9,45,30,3
36,0,0,0,22,40,148,0,0,45,41,2
37,0,0,0,34,22,183,2,2,26,23,6
38,0,0,0,8,38,135,10,11,48,37,11
39,0,0,0,2,37,94,14,13,90,38,10
40,0,0,0,71,18,167,0,7,21,12,2
41,0,0,0,1,40,141,2,5,66,38,5
42,0,0,0,35,25,173,0,5,40,20,0
43,0,0,0,3,42,141,1,6,66,37,2
44,0,0,0,79,25,166,0,14,3,11,0
45,0,0,0,25,66,125,2,35,13,32,0
46,0,0,0,32,38,169,0,18,20,21,0
47,1,1,1,0,10,0,7,15,120,2,144
48,0,0,0,37,25,195,0,11,15,15,0
49,0,0,0,81,22,170,0,10,3,12,0
50,0,0,0,21,34,134,4,6,45,31,23
51,0,0,0,26,37,158,3,17,34,23,0
52,0,0,0,2,25,45,44,11,74,58,39
53,0,0,0,31,38,166,2,10,19,31,1
54,0,0,0,30,32,148,1,10,41,24,12
55,0,0,0,51,25,163,2,1,29,26,1
56,0,0,0,5,49,146,2,4,45,46,1
57,0,0,0,40,30,146,3,9,32,24,14
58,0,0,0,54,26,172,0,6,20,20,0
59,0,0,0,18,47,119,2,10,58,40,4
60,0,0,0,8,45,136,0,9,63,36,1
61,0,0,0,18,45,133,0,10,56,34,2
62,0,0,0,0,44,130,1,5,70,41,7
63,0,0,0,51,25,173,0,7,23,19,0
64,0,0,0,37,29,169,3,9,23,23,5
65,0,0,0,33,27,175,0,4,35,24,0
66,0,0,0,21,15,189,1,2,30,14,26
67,0,0,0,1,53,144,0,4,46,50,0
68,0,0,0,45,29,57,12,29,42,12,72
69,0,0,0,40,32,149,6,11,30,26,4
70,0,0,0,87,24,147,5,15,6,14,0
71,0,0,0,12,28,103,9,6,64,31,45
72,0,0,0,55,28,181,0,19,6,9,0
73,0,0,0,57,23,175,1,5,19,18,0
74,0,0,0,1,39,179,4,0,31,44,0
75,0,0,0,31,28,202,0,6,9,22,0
76,0,0,0,4,44,142,3,6,53,41,5
77,0,0,0,18,36,162,1,9,39,28,5
78,0,0,0,2,50,111,4,7,71,47,6
79,0,0,0,18,38,144,9,21,29,26,13
80,0,0,0,16,26,89,8,8,74,26,51
81,0,0,0,10,35,141,14,5,43,44,6
82,0,0,0,71,24,175,0,13,4,11,0
83,0,0,0,73,9,198,3,7,3,5,0
84,0,0,0,0,41,168,2,5,41,39,2
85,0,0,0,3,43,101,5,4,71,43,28
86,1,1,1,8,19,2,39,25,73,33,99
87,0,0,0,71,23,173,0,8,7,16,0
88,0,0,0,63,24,178,0,12,8,13,0
89,0,0,0,52,26,171,0,2,22,24,1
90,0,0,0,27,37,162,0,13,34,24,1
91,0,0,0,5,35,138,13,7,42,42,16
92,0,0,0,26,50,123,1,14,47,36,1
93,0,0,0,0,37,164,1,1,58,37,0
94,0,0,0,9,40,134,7,16,38,30,24
95,0,0,0,24,30,178,2,2,32,30,0
96,0,0,0,0,44,141,0,1,68,43,1
97,0,0,0,28,30,180,2,5,21,27,5
98,0,0,0,9,40,124,17,7,40,49,12
99,0,0,0,10,47,142,7,6,38,48,0
100,0,0,0,5,41,88,17,8,85,50,4
101,0,0,0,9,38,182,1,8,29,31,0
102,0,0,0,30,42,134,0,14,49,29,0
103,0,0,0,81,38,126,0,22,16,15,0
104,0,0,0,0,42,120,0,0,94,41,1
105,0,0,0,67,19,153,9,12,17,17,4
106,0,0,0,4,44,161,0,2,45,42,0
107,0,0,0,12,34,125,6,9,66,31,15
108,0,0,0,0,42,123,0,1,90,42,0
109,0,0,0,2,49,153,0,3,44,45,2
110,0,0,0,26,10,236,0,0,14,11,1
111,0,0,0,69,21,181,0,11,5,11,0
112,0,0,0,1,49,132,0,0,65,50,1
113,0,0,0,27,38,168,1,9,25,30,0
114,0,0,0,56,36,157,1,18,11,19,0
115,0,0,0,18,48,127,3,16,40,35,11
116,0,0,0,14,40,122,12,9,44,42,15
117,0,0,0,6,41,113,19,10,52,50,7
118,0,0,1,13,21,17,18,18,94,21,96
119,0,0,0,19,32,171,0,2,43,31,0
120,0,0,0,31,27,180,4,8,23,24,1
121,0,0,0,52,25,187,0,14,9,11,0
122,0,0,0,10,37,176,1,3,36,35,0
123,0,0,0,3,42,153,5,1,47,47,0
124,0,0,0,3,50,118,7,4,63,53,0
125,0,0,0,56,25,147,1,4,38,21,6
126,0,0,1,3,17,7,8,13,122,11,117
127,0,0,0,61,26,179,0,11,6,15,0
128,0,0,0,21,31,48,16,11,84,37,50
129,0,0,0,2,31,200,0,0,34,31,0
130,0,0,1,1,7,0,2,4,169,5,110
131,0,0,0,39,22,198,0,3,17,19,0
132,0,0,0,15,35,170,3,9,30,30,6
133,0,0,1,0,20,28,16,1,103,36,94
134,0,0,0,8,37,174,0,0,41,38,0
135,0,0,0,17,41,162,3,13,30,31,1
136,0,0,0,57,35,164,0,17,6,19,0
